Abdul-asad 
Hazheer Zarqan
Hassan Al-khawaja
Abdul Baqi
Rabia Qadri
Samir Mani
Mirfaz Mirza
Ahmed Tripoli
Mohammed Khalid
John Redman
Murtaza Abu
Abdul Ghafoor
First Name:
Saad Bin
Mazin Amioni
Hassan Moukaddam
Ahmed Shukri
Sammy Taziz
Abdulaziz Abide
Zahlawi Abu
Mohammed Khalibo
Abdullah Najib
Najm Al-din
Ousdal Abdel
Abdul Quddus
Marammar Nameri
Ahmed Hashid
Ahmed Alshaieqi
Khaled Saifi
Ahmed Alshahabi
Abdul Latif
Hazma Alnamr
Qamman Saidawi
Abdul Ghaffar
Moustafa Bahloul
Mirfap English
Abdulrahman Sahlii
Hassan Zaki
Michael Hamedan
Mansur Bin
Mustafa Murad
Fakhruddin Bakr
Hello, John
Abdul Haq
Hamid Jarallah
Shabib Al-hadad
Zain Adel
Abdulrahman Jadham
Ahmed Al-hathail
Ahmed Jabali
Rajeh Assem
John Carpenter
Ahmad Hindi
Hello, My
Hello Atiya
Saad Bakr
Shafiq Shaiqy
Noah Jadis
Thank You,
Sardar Khan
Kanatah Afzal
Firdaus Al-muftee
Ajram Ajram
Amar Shamie
Joseph Jabaily
Ahmed Akawi
Derya Ahmed
Ahnaf Aseer
Malik Binubaid
Khaled Berqdar
Salih Sharaf
Adel Tamim
Abdul Ghanie
Ahmed Al-khawahla
Khaled Khathim
Omar Ibn
Hazhdi Bin
Younes Al-ansari
Fakhruddin Samoom
Ramadan Daqqaq
Malik Bin
Abdul Anas
Ahmed Omar
Abdul Khaliq
Furaj Al-qubani
Ahmed Metani
Mumin Daliim
David Azghoul
Hassan Taziz
Sulayman Al-din
Nasser Al-qai
Ahmed Alafifi
John Green
Hajar Al-mursit
Shamanan 
Amar Khalan


rajih Maafid
Ahmed Al-muftee
Abdulmohi Bin
Abdul Hayy
Hiyyan Shteya
Taraam Rabeen
Marsey Khazaa
Zayed Sultan
Abdullah Al-asali
Salim Sabeel
Ahmed Al-kabbashi
Hanifah Bin
Asmat Gwanma
Abdul Rahman
Basar Qaqoor
Salim Khathim
Ahmed Al-baghdadi
Mohsen Ansari
Ben Khalid
Abdul Jabbar
Sarajuddin Amir
Saifuddin Bin
Fareed Mazhar
Hazhir Ben
Thank You
Najib Masaad
Faisal Sulim
Abdul-ilah Ghawanmeh
Omar Gwanma
Qutham Attiba
Rami Alkathiri
John Coast
Mosaab Alnameri
Saad Al-ashiri
Shahab Bin
Nooruddin 
Marwan Al-qadmani
Jalal Anz
Karam Aljawai
Alyan Qalamouni
Hamiyr English
Thursday Ashjae
Salman Khan
Saadi Jazini
Sad Al-hukami
Mazraani Al-dhayya
Diyya Al-din
Shuqi Bin
Thomas Gaonni


john Smith
Nuruddin Amir
Mesaud Alnameri
Hussain Al-makki
Muṣallih Al-ʿārif
English First
Ahmed Aljawwi
Abdul Latif
Abu Al-hajj
Salem Qureshi
Maimoona Bin
Ahmed Al-aref
Talal Bahloul
Jalal Jazarr
Habibullah Khatiby
Sadik Khalafawi
Othman Aljawwi
Shafaa Amioni
Mohammed Tripoli
Nassiba Rafouz
Nasir Tayyab
Mohammed Najar
Haytham Qarsh
Abdul Qahar
Abdul Moula
Amr Al-hajar
David Dahi
Yasiran Sbeih
Ahmed El-kabir
Jihad Ahram
Abdul Saood
Hisham Qureshi
Zahra Hanbal
Mohsen Bin
Abu Bakr
Ahmed Alayoubi
Ahmed Awaidah


john Smith
Fahd Open
Ziyad Sommera
Khalid Al-khaed
Murtada Gailani
Mohammed Kanani
Faris Aljawai
Abdulaziz 
Abdulqais 


mansi Asali
Abdulahi Obaid
Ahmed Saidawi
Safiuddin Anzah
Munib Sabeeh
Saad M
Abdul Shukoor
Beno Faraas
Abdullah Al-imam
English First
Abdullah Ayubi
Saifuddin Khazaei
Jazam Al-rashedi
Mohammed El
 For
Mohammed Hanifa
Mohsen Yafai
Adam Namer
Saeib Al-namri
Faisal Odel
Majed Bin
Mouakil Benjelloun
Amro Omar


john Smith
Abdul Rauf
Abdul-dayen Zabia
Nuruddin Sarhan
Salman Al-shawish
Majdi Alqazaz
Hanan Al-qatib
Mataaz Zafir
Zahir Ghanim
Abdullah Sabeel
Thank You
Hamedan Sarhân
Samim Al-awazem
Bani Biyat
Muntaser Rabab
Ghaith Ghatafan
Ahmad Bouaziz
Aisha Bint
Ahmed Saiam
Abdul Baqi
Bimbar Perkdār
Abdulmohyi Bin
Mohammad Al-awalik
Ahmed Al-dosoki
Abdulrahman Ebaid
Fouzi Sharif
Ahmed Ghawanmeh
Koulan Mullam
Zain Shumr
Ahmad Al-baitar
Mahdi Alyan
Ajrama Smith
Samaneh Saman
Saddam Biny
Reem Alami
Fatala Khan
Zahra Soleimani
Haniya Bennoui
Mohammed Moutair
Mohamad Khazraj
Abdul Rashid
Adnan Bin
Abdul Alim
Thursday Fasting:
Shafaa Hamidah
Al-hajar Bin
Ahmed Badri
Amani Emmanuel
English First
Salim Azad
Fakhruddin Mutee
Hayan Al
Najib Return
Moshref Baghdad
Tunji Aneem
Salman Al-hakam
Abdul Qabail
Mufeek Nouruddin
Fakhruddin Jazār
Ansar Ansari
Sahavaneh Zharan
Khalid Bin
Ahmad Al-asmar
Hello Khalan,
Maktouq Alkassar
Barq Alsulami
Samir Murad
Abdul Halim
Kayde Buno
Shaban Zahlawi
Himanshu Sharma
Hafez Qalibou
Shaamkh Mazraani
John Asad
Kazem Al-marzouqi
Marzahr Mirfab
Abdul Hayy
Abdul Latif
English First
Ahmed Tarabin
Ahmad Mutawakil
Ida Ezahr
Abdul-baqi Ibn
Muslim Matair
John Carpenter
John Coast
Aramoni 
Shibab Abdulqais
Hisham Bin
Abdul Samad
Mourad Beni
Qurshan Qamran
Muslim Al-ows
Abdul Qadir
Iyad Nasim
Mohammed Al-tawil
Omar Al-khalifa
Tammam 
Munadil Qalyubo
Harith Ibn
Hafan Anza
Tim Shamir
Saidaawi 
Hafsa Al-asali
Ahmed Al-nashashibi
Hussein Atiyeh
Mahir Jadis
Ahmed Bin
Mohammed Zain
Ahmad Al-asali
Showan Zafir
Khalid Bin
Abdulrahman Hamir
Abdul Quddus
Nabil Al-asali
John Amiya
Ahmed Bin
Hassam Dessouqi
Kareem Al-shahhoub
Samir Beno-najar
Hadi Hazzil
Shafie Bin
Khaled Taha
Saad Bin
Hazhdi Bin
Ahmed Al-kulghasi
Mukram Al-sahili
David Daud
Benyamin Yassan
Salim Alsulami
John Rawlinson
Jacob Bahloul
Reda Ibn
Abbas Ghousha
Nahd Motamah
Mohammed Bin
Coastal Poet
David Miller
Fahd Al
George Allah
Zarin Aalian
Majed Ghawanmeh
Fakhruddin Istanbuli
Ahmed Al
Mahdi Taghlub
Ahmed Al-baghdadi
Alfie Blake
Ahmad Al-shubani
John And
Abdulaziz Alajarma
Hamedo Hamir
Din Shahran
Marammar Alhwaytat
Munib Abdul
Abdul Wahid
Bilqaln Sultan
Shahab Al-zufayr
Mukram Sahul
Mohammed Qaleebo
Zahra Najari
Ahmed Ajramah


john Smith
Yasser Al-sarouri
Wael Ben
Shafeeq Ghanim
Muhammad Ibn
Tamer Berqdar
Abdul Majeed
Ahmad Awaidah
Nesiba Riyana
Adam Adwan
Hammoud Sammoum
Abdul Qahar
Hamedan Makki
Gatik Gammad
Muhammad Al-muftee
Haniya Hanif
Himawan Attiba
Najib 
Adam Jarallah
Ahmad Bin
Nouruddin 
Kanatah Diabaté
Abdulrahman 
Sadaf Afghan
Marzouq Shmran
Abdul Sabri
Wael Benazza
Abdul Sabur
Adam Kowalski
Jamel Kandah
Mansour Khelaan
Harb Bin
John Basar
Barq Rabah
Bani Hilal
Nizah Bin
Bin Sakhr
Abdulmuhyi Jazam
Qais Aylan
Abdul Razzaq
Najib Wealth
Murdad Kouhaila
Ahmed Al-futayni
Abdulaziz Abdeh
Hazhir Shmran
Maratqi Jaouni
Zahran English
Abdul Hakim
Ali Boman
Samana Neshashi
Fawaz Baqum
Samir Shuhouh
Hammad Alami
Hazem Bhamdouni
Abdulaziz Bin
Maraaziq Bakroom
Saad Bakr
Matar Al-matar
Anna Mann
Thank You
Majdi Bin
Abdul Quddus
Ahmed Al
Ansar Anzaid
Anees Alian
Abdulqayyum 
Taha Alghoul
Abu Ayd
Faisal Maraziq


english First
Abdul Baqi
Hamedan Rahmati
Abdul Qadir
Abdul Wahid
Fazlul Haashid
Solomon Sarnath
Abdul Quddus
Nagib Munadel
Mourad Safi
Tariq Al-maarif
Omar Bin
Jalal Jahinah
Thursday Ocelet
John Qazaz
Akawi Abdelawi
Thankyou Zohalawy
Samad Rajih
Zaid Bin
Matarad Murtaza
Fakhruddin Nuruddin
Ibrahim Al-dasuqi
Mohammad Ali
Abdul Hakim
Ahmed Jabali
Alam Al-hajar
Aamir Sasaa
Ahmed Ajram
Hassan Kebabieh
Talal Belghazsi
Abbas Al-hajar
Mohammed Al-qubani
Sasir Taziz
Samar Tassam
Hassan Al-shaweesh
Ahmed Al-qarawli
President Baniya:
Abdulrazaq Qurjuli
Berqdar 
Ambassador Nijam
