Konstantinos Tzanoydakis
Stayros Gerardis
Nikitas Lagogiannis
Paraschos Kotsikoris
Agathaggelos Manikas
Nikolaos Laggoysis
Samoyil Rallis
Rafail Koytentakis
Dimosthenis Tsiaras
Nikolaos Maragkos
Layrentios Doyvropoylos
Siranoys Lentzioy
Timoleon Feideropoylos
Agapitos Papadimitrakis
Leandros Lentzioy
Nikon Mpalaskas
Venetios Sevdas
Varsamos Stoforiadis
Theofilos Foyskas
Erotokritos Vakalakis
Chrysanthos Pandis
Athanasios Gretos
Menelaos Fanoyrgakis
Panormitis Tarnaris
Agamemnon Piteros
Eykleidis Tsalamandris
Serafeim Mpalaskas
Magdalinos Lazaridis
Agathaggelos Katsigiannis
Nikodimos Mantaris
Ionas Dimitropoylos
Aristovoylos Koyrakos
Promitheas Thivaios
Periklis Genetzakis
Nikodimos Fokas
Theodoylos Regkas
Eyaggelos Rogaris
Asklipios Saoylidis
Theoklitos Pandis
Aristeidis Andrianos
Aristotelis Gkagkas
Athanasios Zafeiris
Nikiforos Gkanatsios
Karolos Tsotras
Ieremias Chondrolidis
Stamatios Mpaltzis
Rizos Giatromanolakis
Nikiforos Pagkalos
Theodoros Karamsalis
Ilias Livanos
Eleytherios Sitopoylos
Sofoklis Koymiotis
Aristomenis Michailidis
Diamantis Kostopoylos
Paschalis Kastanis
Dimitris Voytsas
Ilias Tsalamandris
Ieremias Grigorioy
Dimitrios Risvas
Anargyros Tachtsidis
Vrasidas Ntavas
Paylos Noysis
Thrasyvoylos Chatzantonis
Nikandros Tziotzis
Elissaios Mpekos
Dimitris Ziogos
Thalis Draziotis
Ananias Christodoylakis
Ignatios Karakaxis
Kyriakos Kalapodis
Anargyros Kolovos
Iraklis Aggelakos
Omiros Doymas
Artemios Skordos
Aristomenis Archaylis
Filimon Giannakoydakis
Archelaos Katirtzis
Eygenios Vachoythianakis
Ionas Terzidis
Sokratis Galatoylas
Nikiforos Sfyrlas
Rodoflos Piteros
Pindaros Panos
Kallinikos Latskos
Aristos Karanikolas
Ippolytos Foyskas
Marinos Tzekos
Triantafyllos Stamelos
Lysandros Mpaklavas
Venetios Ferentinos
Ionas Dosis
Merkoyrios Kravvaritis
Minoas Moytoysidis
Theoklitos Paraskeyopoylos
Loykas Poyftsis
Vissarion Karatzikos
Minas Georgoydis
Christos Lolos
Polykratis Temoyrtzidis
Archelaos Liolios
Laertis Choyntis
Agisilaos Michalakis
Themistoklis Kasoytsas
Fanoyrios Pischinas
Christos Eleytherioy
Valentinos Giannopoylos
Aygoystos Moytoysidis
Kostas Zidianakis
Athinagoras Sitopoylos
Napoleon Klimis
Eytychios Litinas
Polyzois Tsiantas
Ioylianos Polychronis
Paris Aggelikas
Antigonos Theocharis
Paris Peristeropoylos
Michalis Giapatzis
Matthaios Kelaidonis
Aggelos Margaris
Mayros Fydanis
Dominikos Stayrianos
Artemios Theocharis
Anthimos Giannopoylos
Galatios Varaklis
Efraim Paparoidamis
Eirinaios Manoykas
Ioakeim Otsos
Valentinos Danelis
Loykianos Rentzos
Loykianos Delios
Eleytherios Valavanis
Komninos Paparoidamis
Laertis Kottas
Mikes Eleytherioy
Xanthos Anastasakis
Chrysostomos Konstantinidis
Emmanoyil Mazarakis
Akritas Ziakas
Makarios Gkikas
Aimilianos Choyntis
Rallis Eyaggelinos
Eyaggelos Vlachos
Lysandros Karoysos
Vardis Garyfalidis
Miltiadis Sevdas
Dionysios Otsos
Eygenios Amplianitis
Polykarpos Michalellis
Polychronios Moraitis
Stayros Zoynis
Stamatios Aggelopoylos
Solon Mpoysios
Ioannis Droylias
Xenofon Gkoyvelos
Sevastianos Soyrmpis
Archelaos Tzavellas
Loydovikos Kapoynis
Nikodimos Danelis
Anthimos Theodosioy
Kallinikos Eystratopoylos
Filippos Tzinieris
Neofytos Giannoykos
Agisilaos Kotsidis
Antypas Pantazis
Efraim Kritselis
Agathonikos Grevenaris
Theofylaktos Eyaggelinos
Eysevios Tsentoyros
Stamatios Toyrnavitis
Fotios Karanis
Taxiarchis Gkoytzamanis
Samoyil Latskos
Aris Apostolidis
Floriant Syrris
Christoforos Tsopanidis
Titos Kafiris
Fragkiskos Soylintzis
Iraklis Trachilis
Polykratis Spiliotis
Varsamos Ragkoysis
Fanoyrios Litinas
Floriant Piagkos
Triantafyllos Giannakopoylos
Chrysanthos Koykoyliantas
Vladimiros Nikolaidis
Stefanos Violatos
Pantazis Pantzekos
Rigas Margaronis
Menandros Gkitsakis
Anthoylis Papoylis
Polychronios Lelekas
Drakon Epsimos
Rigas Mpotis
Loykas Eytaxias
Sevastianos Petrakis
Mikes Chatzistayrakis
Aias Sarantinos
Dimos Anastasopoylos
Sarantis Voylkos
Antypas Theocharis
Ploytarchos Margaris
Praxitelis Tsoyknidas
Solomon Aggelidis
Filippos Tyralis
Miltiadis Kampakas
Nearchos Poylogiannopoylos
Ieremias Dimitropoylos
Patroklos Satlas
Emmanoyil Mischos
Apostolos Toyrnavitis
Anaxagoras Tsironis
Efraim Mayrommatis
Theofanis Foyskas
Samoyil Peppas
Patroklos Giotakis
Mayroeidis Kalargyros
Nikos Tziotzis
Christian Chatzistayrakis
Andreas Asaridis
Krystallis Akalidis
Chrysovalantios Chrysovergis
Mayroeidis Piperakis
Emmanoyil Diakakis
Pantelis Liolios
Eygenios Anastasopoylos
Savvas Amygdalakis
