Jean Fleury
Guy Nti
Léon Acheampong
Joojo Acheampong
Tristan Lucas
Gabriel Asamoa
Martin Morin
James Guyon
Mark Prévost
Thibault Turpin
Emmanuel Gautier
Antoine Collin
Jérôme Thomas
Elliott Leconte
William Donkor
Laurent Ntim
Matthieu Hubert
William Ofori
Victor Boucher
Franck Clerc
Jérôme Mathieu
Michael Nkansa
Bruce Leclerc
Marc Bourdon
Charles Bonnet
Justin Darko
Jeremy Toussaint
Benjamin Lecomte
Éric Daako
Patrick Quartey
Kwasi Takyi
Christophe Boadi
Christian Adu
Xavier Pages
Kwabena Akyerεko
Frederick Vidal
Christophe Nyantakyi
Ronald Weiss
Aimé Kwarteng
Gilbert Breton
Alex Berger
Alphonse Boakye
Charles Boateng
Raymond Adutwum
Josiah Ledoux
Franck Kwarteng
