Plácido Vives
Sam Rodríguez
Tony Pera
Josiah Carreño
Gastón Takyi
Gregory Agyapong
Kwesi Ahortor
Frank Bonsu
Nicholas Vaquero
Alex Clavero
Ezequiel Jáuregui
Josiah Yirenkyi
Guiomar Rosales
Jose francisco Sotelo
James Lasa
Kwame Tawia
Jack Aznar
Alexander Priego
Kwame Akyeamfuɔ
Akwesi Oppong
Fausto Yawson
Dominic Ortiz
Miguel Ampadu
Gerónimo Alvarado
Frederick Lamas
Nigel Amoa
Mark Ankra
Tony Fosu
Kwadwo Boateng
Dennis Antwi
Cristian Anokye
Michael Darko
Horacio Acheampong
Leonel Adu
Rosendo Carranza
Benjamin Andorful
Fabricio León
Henry Asamoa
Kwamena Awuah
Óscar Dwamena
Venceslás Barrera
Rogelio Sainz
Heliodoro Nti
Ramón Sarpong
Modesto Puente
Simon Barragán
Matías Lucas
Richard Fernández
Nigel Darko
Jose miguel Kumi
Adán Gyamfi
Denis Opuku
Che Riba
Federico Andrés
Tony Esteve
Teo Pozo
Jose angel Guardiola
Kevin Clemente
Reyes Torrent
Dani Franch
James Akyena
Benjamin Segovia
James Rios
Wilfredo Casanova
Narciso Prempeh
Jake Morillo
Hilario Opuku
Salomón Espada
Donald Akyeamfuɔ
Borja Fabregat
Colins Asamoah
Victor Vilaplana
Pío Akowua
Ruy Diaz
Kwamena Bonsu
Fiifi Andorful
Henry Kusi
Josiah Takyi
Joe Obeng
Alex Andres
Shaun Castelló
Adalberto Luján
Maximiliano Raya
Edward Sanmartín
Jacob Almansa
Alexander Sevillano
Harry Kwarteng
Jose antonio Afirifa
Josh Okyere
Lawrence Doménech
Dominic Adu
Kwasi Hoyos
Julian Jáuregui
Santos Silva
Robert Ahortor
Danny Ata
Jonathan Rebollo
Jonatan Ofosu
Rogelio Pozo
Ambrosio Yeboa
Christian Amo
Kenneth Núñez
Eloy Rosado
Josué Torralba
Fernando Badía
Douglas Zurita
Aurelio Posada
Josep Fosu
Manolo Castilla
George Yirenkyi
Jose angel Piñol
Richard Andorful
Vincent Ampadu
Josué Robles
Desiderio Afirifa
Vincent Galiano
Tony Grau
Kujoe Sola
Bernardo Chaparro
Oliver Afirifa
Valentín Obeng
Justin Alfonso
Rubén Roma
Jose Nsia
Lope Cózar
Simon Naranjo
Quique Calatayud
Narciso Afirifa
Ronald Quartey
Severiano Badu
Tom Acheampong
Joojo Boaten
Juanito Owusu
Jeremy Akoto
Herberto Marti
Jacob Dwamena
Nilo Catalán
Jeremy Wiafe
Julian Mensa
Juan francisco Adutwum
Juanito Nyantakyi
Gerardo Mármol
Guadalupe Gibert
Joe Bonsra
Kofi Afirifa
Adam Blasco
Kyle Cabrero
Daniel Tamayo
Pastor Gyamfi
Vincent Llanos
Aníbal Agyei
Fabio Nyantakyi
Aníbal Asare
Tony Tamarit
Yaw Berrocal
Benjamin Galván
Kojo Antwi
Amador Kwaakye
Gustavo Suárez
Mathew Somoza
Marcio Baawia
Ale Infante
Louis Asamoah
René Boakye
Kwamena Nyantakyi
Bernabé Amo
Teobaldo Yaamoa
Luis ángel Sarpong
Gregory Morata
Julio césar Barco
Fabricio Quartey
Joel Peláez
Joel Tawia
Felipe Morcillo
Eric Esparza
Vicente Salazar
Terence Badu
León Riera
Baltasar Beltrán
Elliot Barón
Gabriel Danso
Evaristo Tutu
Amando Llorente
Adelardo Rosell
Richard Sales
Samuel Bravo
Rogelio Amoa
Diego Lopez
Oliver Leon
Josiah Mensa
Jeremy Otiwa
José maría Sarpong
Osvaldo Rosell
Moreno Kwaakye
Vidal Terrón
Timothy Kwaakye
Macario Bonsu
Simon Rivas
Kojo Ahortor
Elliot Otiwa
Alejandro Nyantakyi
Gerald Roca
Alexander Cuevas
Plinio Castilla
Cristóbal Chacón
Ruperto Acheampong
Christian Darko
Clifford Duah
Alejandro Yaamoa
Bernardino Nuñez
Adelardo Lorenzo
Bruce Kumi
Raymond Twumasi
Kwaku González
Rafael Lucena
Elliott Twumasi
Lucho Castilla
Francisco javier Daako
Kyle Sales
Adam Amponsah
Jack Boahen
Colins Gyamfi
Sam Tutu
Akwesi Yeboah
Henry Yirenkyi
Michael Gras
Gerardo Herranz
Matías Aragonés
Baudelio Alcázar
Stanley Egea
Richard Rojas
Timothy Marín
Abel Mulet
Onofre Vazquez
Fermín Leal
Derrick Jerez
Kujoe Gyasi
Jenaro Gallardo
Iker Bautista
Ariel Tutu
Julian Agyapong
Anthony Sarpong
Ruy Cortes
Florentino Valls
Pelayo Posada
