Jacob Dumas
Yves Lesage
Oliver Asamoah
Éric Agyapong
Aimé Agyemang
Terence Asamoah
Emmanuel Fofie
Alphonse Amoasi
Vincent Ankra
Honoré Ntim
Derrick Kusi
John Faivre
Josh Awuah
Alfred Monnier
Étienne Mensa
Fiifi Lefort
Christian Gyamfi
Lucas Amo
Jack Traore
Vincent François
Édouard Berthelot
Kwame Boadu
Gilbert Durand
Kwamena Akoto
Francis Valette
Luc Owusu
Henri Garcia
Jonathan Gaillard
Paul Antwi
Robert Gillet
Édouard Chauvet
Phillip Kumi
Akwesi Tawia
Vincent Lacombe
Malcolm Andorful
Pierre Takyi
Roland Nkansah
Olivier Ntim
Max Schmitt
Isaac Mensah
Ekow Petit
Olivier Baafi
Augustin Ampofo
Étienne Lemonnier
Tom Benoit
David Fosu
Peter Adutwum
Henri Bonsu
Duncan Baah
Fiifi Opoku
Adrien Lelièvre
Colins Otiwa
Michel Laporte
John Becker
Terence Dijoux
Charles Bouvet
Gabriel Le roux
Steven Baah
Mathew Laine
William Donkor
Antoine Akyeampong
Alain Gyamfi
Kwadwo Ferreira
Pierre Ntiamoa
Tony Ankra
Nicolas Amoasi
Luc Lemonnier
Jean Descamps
Harry Perret
Denis Fontaine
Elliot Adusei
Kwasi Aubry
Danny Ntim
Lucas Leclerc
Alphonse Otuo
Jack Ankra
Roland Ankra
Gilbert Buisson
Yves Valette
Xavier Adutwum
Robert Lecomte
Christophe Karikari
Éric Maury
Joseph Quartey
Paul Asare
Kenneth Dubois
Alphonse Boadu
William Boadi
Mark Mensah
Edward Lefebvre
Grégoire Ramos
Franck Bonsra
Gabriel Obeng
Denis Amoako
Tristan Agyare
Yves Marty
Alexandre Nkansah
Josh Denis
Gilbert Boucher
Léon Martineau
Jérôme Nti
Georges Legrand
Anthony Monnier
Rémy Foucher
Henri Kumi
Samuel Daako
Guillaume Lefebvre
Thibaut Rocher
Thomas Menard
Akwasi Da costa
Victor Gosselin
François Amoasi
Jérôme Ofosu
Théodore Ruiz
Justin Lejeune
Franck Laroche
Emmanuel Takyi
Yves Rodrigues
Arthur Martins
Alphonse Koomson
Nicholas Yeboa
Éric Karikari
Francis Appia
Patrick Guillon
Louis Delannoy
Joel Barbe
Benjamin Voisin
Isaac Donkor
Jérôme Martel
Émile Fosu
Denis Afirifa
Eugène Appia
Étienne Anokye
Robert Grégoire
Laurent Carre
Philippe Agyare
Thibaut Diaz
Daniel Gonzalez
Arthur Adutwum
Timothée Rousset
Marcel Arnaud
Kwadwo Pons
William Peron
Charles Maillet
Gérard Cousin
Yves Adutwum
Derrick Nyantakyi
Thibault Otiwa
Akwasi Alexandre
Yaw Amponsah
Charles Pelletier
Ekow Nyantakyi
Charles Awuah
Matthieu Baawia
Lawrence Letellier
Isaac Laroche
Martin Adutwum
Jonathan Roy
Charles Akoto
Gérard Wagner
Anthony Cousin
Roland Hubert
Kwadwo Boucher
Thomas Akowua
Alain Wiafe
Bruce Kwarteng
Nicholas Fosu
Vincent Lebon
Jean Boadi
Thibaut Ramos
Marcus Jacquet
Philippe Georges
Robert Perret
Edward Kwarteng
Philippe Mahe
Aaron Camus
Robert Coste
Malcolm Fofie
Paul Coste
Charles Kumi
Eric Giraud
Bernard Nti
Henry Briand
Marcus Gyamfi
Robert Jourdan
Douglas Maréchal
Denis Afoakwa
Théophile Marty
Nicolas Poirier
Georges Obeng
Éric Nkrumah
Abeiku Boahen
Jérôme Mathieu
Jack Asante
René Andre
Richard Asare
Leslie Agyei
Ronald Thibault
Philippe Gauthier
Jeffrey Asiama
Terence Ofori
Gordon Boateng
Aaron Samson
André Wiafe
Guillaume Boakye
Dennis Baudry
Danny Karikari
Derrick Adutwum
Raymond Hamel
Rémy Akowua
Adrien Oti
Henry Moreau
Gregory Fofie
