Goran Gute
Massimo Harloff
Dariusz Schmiedt
Dagobert Hering
Stefano Christoph
Holger Tröst
Birger Heinz
Volker Hamann
Jens-peter Heidrich
Cemil Kambs
Hans-detlef Jüttner
Mikhail Stumpf
Dariusz Noack
Jörg-peter Gutknecht
Fredi Girschner
Sigurd Birnbaum
Ulrich Eimer
Elmar Winkler
Faruk Mies
Reimar Seifert
Heimo Rose
Claus Kallert
Adrian Schenk
Ingbert Bärer
Leonardo Scheibe
Leonard Bohlander
Klaus-günter Heuser
Arthur Keudel
Andree Roskoth
Romuald Stroh
Heimo Wieloch
Adem Kensy
Heinz-georg Döhn
Jakob Schottin
Justus Bärer
George Scheel
Nikolas Dörr
Sükrü Bachmann
Alfred Gierschner
Helmuth Hertrampf
Ben Ernst
Anton Pergande
Alfonso Hahn
Jacek Mitschke
Ernest Koch ii
Knut Oestrovsky
Hans-martin Aumann
Jakob Segebahn
Wieland Mülichen
Paolo Klemt
Leo Lindau
Wojciech Plath
Uwe Eigenwillig
Andy Bohnbach
Muharrem Stoll
Thomas Weihmann
Klaus-jürgen Fliegner
Roy Rosenow
Geert Geisler
Abraham Pechel
Adem Gude
Paolo Junken
Marco Patberg
Gerhardt Reising
Ladislaus Kreusel
Ditmar Reichmann
Andree Jüttner
Friedhelm Kranz
Vladimir Täsche
Hans-henning Kusch
Giovanni Drewes
Pedro Budig
Ludger Gröttner
Ismail Heydrich
Gottfried Schleich
Friedemann Wieloch
Mehmet Beckmann
Ismet Kranz
Berthold Zimmer
Volkmar Fischer
Slawomir Mohaupt
Gernot Henck
Edelbert Lorch
Anselm Kabus
German Rust
Alois Ackermann
Sigismund Drubin
Hans-detlef Wieloch
Bastian Reising
Hans-dietrich Roht
Bernward Hahn
Ahmet Wulff
Piotr Henschel
Richard Holt
Martin Wilmsen
Mohammad Wohlgemut
Florian Eberth
Ismail Fiebig
Zeki Tlustek
Claudio Bärer
Eberhard Ruppersberger
Gottlob Eberhardt
Arnfried Bruder
Pirmin Schmiedecke
Sigmar Kobelt
Karl heinz Bender
Kay-uwe Löwer
Siegmund Harloff
Jochem Sontag
Torben Metz
Reza Hellwig
Wilhelm Finke
Engin Jacob
Donald Häring
Ferenc Holsten
Ferdi Hänel
Holger Hendriks
Nicolas Bien
Ottmar Wagenknecht
Marc Bärer
Karl heinz Kensy
Hellmut Nette
Vlado Eimer
Nurettin Nohlmans
Imre Putz
Pasquale Käster
Hans-ulrich Bolnbach
Berndt Reising
Sandro Ritter
Hans-gerd Pergande
Ahmed Blümel
Ortwin Aumann
Bartholomäus Margraf
Arthur Schüler
Gerd Hering
Luigi Kraushaar
Friedrich-wilhelm Klotz
Enrico Hesse
Burkhardt Christoph
Ioannis Fliegner
Klaus-günter Lindner
Zoltan Klemt
Salih Wende
Ronald Hartmann
Hendrik Hein
Ahmad Jüttner
Meinhard Ziegert
Kurt Kabus
Johannes Killer
Bela Bruder
Gundolf Beer
Claus-peter Langern
Cord Mülichen
Raphael Schinke
Leonard Pruschke
Richard Adolph
Tillmann Trupp
Orhan Gertz
Heinz-joachim Weimer
Heino Heser
Hans josef Jäntsch
Karl-ernst Junck
Till Metz
Filippo Seip
Vincent Schuchhardt
Thorben Wiek
Heinz-gerd Krause
Amir Wernecke
Harald Stiebitz
Pius Drub
Yusuf Berger
Aribert Henschel
Klaus-günter Weinhage
Raphael Johann
Carl-heinz Gorlitz
Günther Scholz
Josef Losekann
Toralf Koch ii
Oskar Kroker
James Kreusel
Hans-günther Aumann
Heinz-günther Roskoth
Dogan Schuster
Erdogan Barkholz
Maurice Kusch
Sedat Henk
Hans-gerhard Eimer
Imre Etzold
Raphael Röhrdanz
Anatol Trub
Andree Klapp
Hans-gerhard Martin
Tomasz Jacob
Balthasar Lehmann
Antonius Schenk
Jurij Stey
Manfred Reinhardt
Leonid Budig
Ullrich Birnbaum
Hans-gerhard Schulz
Rouven Häring
Alfons Mülichen
Eggert Misicher
Willy Junk
Riza Bender
Siegmar Bohlander
Ralf-peter Jacobi jäckel
Karl-dieter Koch
Arnulf Mitschke
Cetin Neureuther
Hubert Heß
Mathias Cichorius
Peer Stolze
Zeljko Bähr
Folkert Herrmann
Paolo Eberhardt
Jacob Briemer
Ilhan Ditschlerin
Stefano Kambs
Micha Krebs
Niels Tlustek
Gino Müller
Sigurd Lorch
Mattias Johann
Tom Girschner
Rocco Wiek
Willy Schüler
Necati Ebert
Gernot Stoll
Witold Drub
Cemil Budig
Tomislav Binner
Diedrich Carsten
Burkard Sauer
Ralph Jacobi jäckel
Hans-karl Eigenwillig
Miroslav Lachmann
Patrick Becker
Nils Meister
Harold Geisler
Silvio Trubin
Serge Höfig
Karsten Lübs
Utz Stey
Eduard Bien
Frithjof Schleich
Ivo Pohl
Hansjörg Flantz
Franz-peter Scholl
Leander Hartmann
Thoralf Söding
Friedhelm Gerlach
Johann Weitzel
Thorsten Salz
Hans-herbert Schacht
Hans Rose
Ottokar Aumann
Franz Ruppert
Alfredo Zirme
David Sauer
Jonas Scheuermann
Tomasz Rosenow
Wilfried Scheibe
Willfried Boucsein
Dietmar Zobel
Ulf Zorbach
Bertold Blümel
Joseph Ernst
Ekrem Mühle
Martin Faust
Sylvio Schäfer
Siegfried Jessel
Helmut Hettner
Götz Stolze
Heinz-dieter Weimer
Jonas Fritsch
Josip Hettner
Cosimo Kabus
Hans-herbert Wohlgemut
Hans josef Kusch
Burghard Klemt
Bernd-dieter Scholtz
Marcus Stadelmann
Mahmoud Junken
Darius Binner
Hassan Söding
Heinz-gerd Mangold
Rudolf Ullrich
Miguel Harloff
Ernst-august Hartung
August Juncken
Alex Dietz
Thomas Ruppersberger
Renato Wulf
Rigo Jessel
Jörg-peter Eckbauer
Ulf Walter
Arif Krebs
Karl-heinrich Sölzer
Kenan Weitzel
Zeki Schlosser
Ivo Staude
Kilian Sauer
Bodo Weiß
Reginald Niemeier
Juan Nohlmans
Alwin Löffler
Sigurd Otto
Stjepan Heser
Konrad Schottin
Meinhard Graf
Zenon Ortmann
Ingo Holsten
Jiri Tintzmann
Hanspeter Trub
Ronny Albers
Eitel Zänker
Tillmann Rogge
Zenon Bachmann
Rochus Roskoth
Henryk Renner
Bartholomäus Reising
Hugo Langern
Laszlo Ziegert
Marek Buchholz
Miodrag Franke
Pedro Mies
Baptist Schaaf
Muharrem Stey
Hans jürgen Rörricht
Roland Kohl
Muharrem Dietz
Nikolaj Koch
André Misicher
René Lorch
Ralph Möchlichen
Heinz-willi Jäkel
Muzaffer Trapp
Gottfried Rust
Franz josef Schinke
Jochen Margraf
Ferdinand Dörschner
Charles Heinz
Holger Patberg
Alberto Wagenknecht
Herbert Roht
Luis Fiebig
Albin Mans
Andy Junck
Slavko Ackermann
Steve Loos
Saban Kramer
Paul-gerhard Täsche
Pavel Pruschke
Georg Roskoth
Horst-dieter Sontag
Friedhelm Henk
Rolf-peter Jähn
Lorenz Schüler
Klaas Junk
Patrik Schuchhardt
Ole Walter
Utz Börner
Nils Renner
Piotr Rädel
Arne Wernecke
Roland Anders
Alexandre Riehl
Ante Scheuermann
Karl heinz Tintzmann
Rolf-peter Lindner
Jörg Hellwig
Rouven Eckbauer
Dimitri Carsten
Peter Etzold
Knut Dietz
Horst-günter Boucsein
Paul-heinz Dehmel
Konrad Klingelhöfer
Udo Gorlitz
Meinolf Hesse
Matthias Dobes
Hans-jürgen Dussen van
Murat Weller
Armin Holzapfel
Kamil Klemt
Eckhart Gotthard
Siegbert Wulff
Stanislaus Lindau
Eggert Stumpf
Swen Schwital
Heinz-joachim Dörschner
Walther Dörschner
Salvatore Radisch
Torsten Gröttner
Tilman Dehmel
Eitel Bärer
Luciano Freudenberger
Kunibert Stahr
Heinz dieter Jacobi jäckel
Ada Dehmel
Drago Tschentscher
Wilfried Cichorius
Matthäus Trüb
Heini Zahn
Aloys Zorbach
Wolfram Bender
Jörg Kitzmann
Janusz Wirth
Petros Gnatz
Karl-jürgen Berger
Gerd Klotz
Thorben Barth
Philip Schuster
Josef Hein
Heribert Kobelt
Hans d. Stahr
Pascal Cichorius
Wolf-dieter Heinz
Hellmuth Rosemann
Abram Drubin
Amir Höfig
Ottmar Margraf
Immo Haering
Victor Kranz
Giorgio Pölitz
Ali Noack
Mesut Täsche
Willi Bähr
Heinz-werner Krebs
Timm Van der dussen
Bernard Metz
Niklas Lindau
Albert Holsten
Holm Weller
Ditmar Ditschlerin
Domenico Benthin
Zdravko Wagenknecht
Hermann josef Jessel
Sebastian Kruschwitz
Kemal Bolander
Guenter Fiebig
Burkhard Dietz
Zoran Kraushaar
Klaus-d. Steckel
Marten Trapp
Winfried Bolzmann
Hans-michael Schönland
Reinhardt Schuster
Klaus-michael Rogner
Muharrem Koch ii
Wolf-rüdiger Drub
Milan Berger
Helmuth Girschner
Jiri Spieß
Jan Stolze
Thorsten Hecker
Sahin Beier
Marc Mohaupt
Heinz-walter Loos
Harry Eigenwillig
Alex Stiebitz
Massimo Thies
Ekkehard Dippel
Heinz-werner Klapp
Siegbert Rosenow
Sebastiano Möchlichen
Hans-rainer Stumpf
Norman Winkler
Hassan Roskoth
Theodor Graf
Ada Rose
Mohamed Höfig
Phillip Wesack
Karlheinz Bender
Lukas Geisel
Konstantinos Textor
Hans-ludwig Heser
Otfried Rogge
Friedrich-karl Losekann
Arthur Scholz
Kilian Pergande
Artur Van der dussen
Reinhard Schaaf
Recep Herrmann
Zbigniew Reising
Hans-karl Täsche
Hans-josef Eimer
Rochus Holt
Robby Ruppert
Axel Caspar
Anastasios Junken
Milos Beier
Maik Beer
Nikolaj Steinberg
Dursun Pruschke
Vassilios Gorlitz
José Hörle
Sandor Sager
Henrik Stoll
Saban Kobelt
Stefano Hering
Franz-peter Adler
Klaus peter Schüler
Milos Reichmann
Steven Segebahn
Friedemann Roht
Markus Freudenberger
Falk Ernst
Jens-uwe Schleich
Zenon Hornig
Edmund Bonbach
Heimo Kambs
Angelo Kostolzin
Gabor Geisler
Bernhard Gehringer
Wolf Hecker
Miroslaw Huhn
Antonios Fritsch
Anton Segebahn
Petar Conradi
Niels Thies
Tim Lehmann
Abram Schulz
Stanislav Kobelt
Helmuth Benthin
Heinfried Mude
Anton Henk
Bernt Meister
Ibrahim Haering
Ioannis Schacht
Berend Jähn
Henryk Rogner
Sandro Etzler
Wilfried Hornig
Fatih Nette
Hüseyin Anders
Maximilian Girschner
Wolf-dieter Johann
Oliver Geisel
Arnim Süßebier
Hanspeter Schacht
Hans-werner Lindau
Süleyman Hornig
Steffen Römer
Frederik Heinrich
Leopold Sontag
Simon Gertz
Wolf Ebert
Christoph Spieß
Meik Schinke
Enno Holt
Johan Pechel
Heinz-walter Junken
Kornelius Bachmann
Reinhard Gunpf
Arnulf Bauer
Miroslaw Säuberlich
Adelbert Walter
Siegfried Fritsch
Anselm Hauffer
Anto Drub
Willibert Kuhl
Hans-detlef Linke
Saban Adler
Ernest Kranz
Jörgen Gröttner
Engin Ruppersberger
Cosimo Schenk
Heinz-günter Kaul
Robby Gumprich
Süleyman Trubin
John Dobes
Rudolf Kostolzin
Kilian Roht
Kurt Boucsein
Brian Bonbach
German Schacht
Henry Löwer
Oswald Barkholz
Guntram Thanel
Hellmuth Jacobi jäckel
Alfons Rogge
Hans-eberhard Rose
Karl-peter Dehmel
Stephan Hettner
Attila Holzapfel
Rüdiger Mude
Konrad Jopich
Conrad Ring
Gerard Heser
Ehrhard Hauffer
André Mosemann
Dusan Lachmann
Alfredo Vogt
Wolfhard Hande
Vincenzo Salz
Bernd-dieter Herrmann
Heiko Stolze
Antonio Plath
Zlatko Scheel
Sergei Karge
Mohammad Bohlander
Gabor Henck
Curt Buchholz
Karl-ernst Gotthard
Gunar Gumprich
Wolf Hartmann
Ralph Trupp
Wolf Seifert
Tassilo Kusch
Vinko Anders
Heinz-walter Dehmel
Juri Lorch
Kenan Schacht
Klaus Stumpf
Hüseyin Koch ii
Norbert Berger
Ingolf Sölzer
Heinz-joachim Jungfer
Roland Jockel
Jochem Etzler
Ingolf Eberth
Edward Lübs
Klaas Rosemann
Alwin Aumann
Lukas Kohl
Torben Söding
Anatoli Käster
Dursun Zahn
Dirk Hethur
Volker Schottin
Jürgen Harloff
Roland Löchel
Abraham Linke
Amir Pärtzelt
Silvio Barth
Albert Junk
Eberhard Döring
Holger Mitschke
Hans-gerd Wernecke
Artur Gumprich
Kenneth Roskoth
Joachim Etzold
Gisbert Albers
Pasquale Matthäi
Dagobert Jähn
André Koch ii
Hans-hinrich Stahr
Nikola Gorlitz
Abram Hahn
Raik Barkholz
German Barkholz
Henner Schleich
Klaus-werner Wieloch
Timo Röhrdanz
Cord Kobelt
Oswin Dippel
Thoralf Dippel
Süleyman Fröhlich
Ferenc Kroker
Anto Neuschäfer
Eckhard Stiffel
Rainer Ullmann
Gernot Dippel
Bodo Walter
Meinhard Karz
Eugen Wieloch
Guiseppe Franke
Theobald Noack
Zeljko Schmiedt
Ilja Hauffer
Karl-heinrich Wernecke
Sylvester Martin
Rolf-peter Zimmer
Louis Fliegner
Hans-detlef Davids
Ramon Schomber
Ante Bonbach
Hans d. Mangold
Athanasios Mosemann
Heinz-gerd Christoph
Theodoros Krause
Kevin Martin
Eitel Staude
Diethelm Seip
Pedro Austermühle
Herrmann Lindau
Valentin Lübs
Hans-helmut Gutknecht
Mohamed Heinz
Ekkehart Stey
Adam Dehmel
Diethelm Schmiedecke
Hanns Hölzenbecher
Jiri Mangold
Harro Röhricht
Antonino Dowerg
Georgios Zimmer
Jens-uwe Radisch
Otto Kabus
Miroslaw Dörschner
Hans jörg Heinz
Dan Barkholz
Peter-michael Schaaf
Yilmaz Karge
Jurij Stadelmann
Edward Gierschner
Maik Wirth
Fritz Jacobi jäckel
Francesco Köster
Sepp Löchel
Pawel Speer
Filippo Wähner
José Otto
André Eberth
Ernst-otto Weitzel
Michael Geisel
Miodrag Kranz
Ismail Kohl
Ian Hörle
Sebastian Ladeck
German Hentschel
Jonathan Löchel
Heimo Klemt
Wolfram Pechel
Pawel Hartung
Herbert Pruschke
Hendrik Spieß
Hans-peter Bloch
Charles Vollbrecht
Maurice Thanel
Adem Jäkel
Theobald Bachmann
Abbas Wagenknecht
Karl-dieter Hentschel
Sieghard Barkholz
Filippo Schuchhardt
Hans-joachim Niemeier
Hinrich Johann
Niko Losekann
Heimo Geisel
Wladimir Schwital
Bernhard Lübs
Ansgar Etzler
Dietrich Vollbrecht
Mehmet Bonbach
Arno Textor
Jörn Wulff
Vito Hering
Hans-dieter Kuhl
Holger Boucsein
Phillip Rust
Klaus-michael Koch ii
Ilhan Pechel
Dimitri Sölzer
Holm Linke
Dierk Mentzel
Hans peter Birnbaum
Eugen Mosemann
Gernot Hamann
Hans-michael Juncken
Jann Anders
Eckhardt Budig
Albin Weihmann
Hans-friedrich Mende
Ron Heser
Günter Geisler
Berend Bärer
Johann Börner
