Nikitas Ktenidis
Kallinikos Triantakonstantis
Alexios Giannakis
Theopistos Lolos
Eythymios Roidoylis
Eleytherios Varsos
Thoykydidis Karamanos
Thoykydidis Vitsaxis
Neofytos Grigorioy
Agathoklis Mpozikis
Praxitelis Christodoylakis
Theofylaktos Zolotas
Foivos Michailidis
Nathanail Apostolakakis
Vartholomaios Violatos
Tryfon Desyllas
Agisilaos Kompolias
Nikiforos Xirogiannis
Foteinos Kotsikoris
Artemios Pischinas
Ioakeim Sevdas
Eythymios Voylkos
Diamantis Peppas
Rachil Doykatzis
Theofilos Mpaganas
Zafeirios Chatzisavvidis
Nikodimos Makrygiannis
Anestis Syrgis
Grigorios Vaitsopoylos
Menandros Petrogiannis
Loydovikos Syrris
Polyzois Diakakis
Paysanias Andrianos
Loydovikos Kamposakis
Laskaris Arampatzis
Paraschos Vlachos
Vasilis Psychias
Leonidas Karakaxis
Anargyros Tsemperlidis
Laokratis Dimitrioy
Damaskinos Polychronis
Lykoyrgos Aggelopoylos
Eystratios Terzidis
Stellios Makrygiannis
Kostas Psyllakis
Dimokritos Androylakis
Nikon Stergioydis
Andronikos Psaltis
Themis Kapsalis
Isidoros Dimopoylos
Savvas Samanidis
Dimitrios Mpoyloykos
Eyaggelos Christaras
Eirinaios Gkinis
Iakovos Katsaros
Ieremias Skoylaridis
Paraskeyas Spalas
Fanoyrios Moyselimis
Theotokis Pikoynis
Adam Sidiropoylos
Sarantis Koykoyliantas
Zinovios Nasikas
Christoforos Parganas
Marinos Tsalamandris
Vikentios Kapoynis
Valantis Delios
Paysanias Fotoglidis
Iraklis Charteros
Adamantios Karakaxis
Tilemachos Kritselis
Fokion Tsiamoyras
Timotheos Spathopoylos
Savvas Tsellos
Eykleidis Spandonidis
Aygeris Kontokostas
Thiseys Tsiantas
Vlasios Mpantes
Anestis Paparoidamis
Tryfon Nitsotolis
Thrasyvoylos Koykoyliantas
Dionysios Eyaggelinos
Agapios Mpekos
Leonardos Stamelos
Aris Livanos
Filippos Koytchias
Patroklos Tziortzios
Asterios Charisiadis
Archimidis Tselios
Antipatros Vamvakas
Promitheas Papoydis
Minoas Konidaris
Romanos Samanidis
Napoleon Zotos
Siranoys Laoyrdekis
Eysevios Fragkopoylos
Stayros Koylidis
Aristarchos Mpoyloykos
Panormitis Aggelakos
Theofilos Delios
Adamantios Zimatikas
Kimon Xanthakis
Aristomenis Papafotis
Theopistos Kioysis
Athanasios Tzevelekos
Nearchos Kypriotis
Anastasios Dimovelis
Ionas Psyllakis
Solon Klimis
Sarantis Nikoylis
Agisilaos Amygdalakis
Panagis Esperidis
Leandros Vlachonikoleas
Errikos Tsegas
Theopistos Tzinieris
Giorgos Giannelos
Anthimos Takantzas
Menandros Chatzigrigorakis
Aristomenis Tzavellas
Ektoras Geropoylos
Alexios Koytsogiannis
Archimidis Mantzoros
Ermis Karagiannis
Methodios Syrgis
Merkoyrios Pippas
Promitheas Emporopoylos
Leonidas Skordos
Gerasimos Koytalios
Asimis Milioris
Agathaggelos Moyselimis
