Angam Din
 Answer:
Sahar Akawi
Munaazil Bin
Saib Bin


john Smith
Nasseruddin Amini
Faris Hanifah
Wael Benaziz
Abdulaziz Bin
Maysur Al-namri
Alian Al-aqut
Shahab Tameem
Joseph Saidani
Hazim Al-hakim
Tim Ashgea
Ahmed Zarqan
Abdul-illah Zulatimu
Munadil Dajani
Caram Benyat
Ben Sheiba
Amunayi Sultan
Samir Ghamd
Saber Murad
Ahmed Al-qazzaz
Hello Fatiya,
Ahmed Al-mehri
Ahkeem Saiam
Yasmin Binoy
Mursi Ghatfan
Joseph Tripoli
Omar Alfifi
Fazri Nmurri
Abdul Samad
Mukhtar Obaid
Ghaamid Faida
Hamiir Thaqaab
Abdul Malik
Hiyyan Azra
Hilal Bin
Abdul Qahar
Abdul Latif
Salam Asir
Mohammed Saif
John Blue
Mazen Bani-biatt
Naji Nassem
Dinah Huddam
Sultan Habib


john Smith
Ahmad Al-nasir
Kazem Najar
Abdul Khaliq
Samar Anis
Kamal Al-fakhr
Hamid Khandaf
Abdulaziz Abdulah
Abdul Qahar
Mohammed Murkah
Shahab Badriya
Sahar Almutawalli
Ahmad Khalan
Benazir And
Mohammed Aziz
Ahmed Al-hajar
Abdul Hafeez
Ahmad Asir
Ahmed Ghawanmeh
Zarine Nurdin
Ahmed Al-maraziq
Ahmad Ghousha
Hossein Mashaei
Ahmad Badriyah
Saad Alsaedani
Najib Alghaziri
John Hamir
Sammy Amioni
Fouad Ghatafan
Mohammed And
Abu Ayd
Ahmad Bin
Fakhruddin Tootunji
Faysal Halwani
Fahd Al-qutb
Hassan Khazaei
Hammoud Al-bashiti
Ahmed Jazini
Faris Thaqif
Kholan Sarhan
Shaker Aalian
Mohammed Al-haddad
Anas Al-hassan
John And
Abdul Ghaffar
Azza Ben
Sahel Bin
Ahmed Al-asali
Marwan Shabani
John Fotyani
Abdul Shohoh
Aman Aliyan
Mohammed Tripoli
Mesrur Bin
Abu Al-hajj
Othman Al-ansari
Abdul Bari
Abdulghassan Besar
Mohammed Latif
Omar Al-qazzaz
Afghan Muslim
Fakhruddin Najar
Zaahir Ansaari
Mohammed Bakeel
Wael Hassan
Abu Aide
Abu Al-hajj
Leyla Beno
Saad Bin
Faisal Bin
John Hanson
Hassani Gatina
Abdul-ilah Zamamiri
Mohammed Jarrah
Akhtan Akleb
Karam Al-hajar


john Smith
Ahmed Al-sahhoul
Ahmed Tahan
Zurqan Ali
Abdul Wahid
Zelalem Gebrehiwot
Gamal Ghamid
Abdul-deen Obaid
Jalal Sharf


john Smith
Friedrich Mann
Ahmed Desai
John Amioni
Younes Alkalghasi
Kanzi Shibli
Hareth Bin
Sarajuddin Sharif
Kamal Al-qutub
Hamiir Improvement
Khaleel Bin
Ahmed Al-aytibi
Hammam Al-qadmani
Fouzi Belghazi
Murdo Toothe
Murtaza Anmar
Abdul Wahid
Layla Shweifati
Mazza Kahn
Majed Zargan
Munthir Al-kathiri
Qais Aylan
Abdullah Ibn
Ahmeduddin Badriya
Abu Aide
Tamir Byni
Ahram Return
Faisal Bin
Muhiyiddin Bin
Naser Tammam
Din Dawoodi
Maram Amouni
Jameel Shihabi
Monsieur Barq
Khalifah Hussaini
Abu Al-hajj
Saad Bin
Mustafa Kemal
Haitham Bakr
Jazam Musaaf
Muhammad Ibn
Ahmed Al-qubany
Khalid Hamir
Beautiful Ben
Noura Yaz
Malik Bin
Faraan Alami
John Biat
Marjie Kanda
Muhammad Al-kalwati
Samir Ahram
Hussein Abdul
Zafir Zafir
Fahd Jabili
Ahmed Al-dairy
Charlie Rush
Ahmad Al-dasuqi
Khalid Bin
Moustafa Hamidah
Abdul Qahhar
Mahdi Bin
Ahmed Zubeida
Azmi Bani
Amman Bin
Othman Khattab
Mazin Rashid
Mohammed Al-oqaidi
Hazdee Khandaf
Shaman Return
Abdullah Al-namr
Maneef Maatouq
Letha Bennett
Saddam Maraziq
Shaddad Tahan
Murtada Hashim
Omar Abu
Mourad 
Abdul Qadir
Khaled Sharif
Omar Baghdad
Zizi El-sarsam
Eubie Blake
Ahmad Shamlu
Ahmad Al-sururi
Jalaluddin Mazyona
Nader Bakeel
Abdulrazaq Hamidah
Abdulrahman Saidawi
Ahmed Neshashibi
Abdulrahman Qureshi
Ahmad Khazrji
Samar Nasibah
Munib Bin
Iyad Maghzaire
Ghamid Tarabien
Essam Al-imam
Good Morning,
Joseph Najib
Yuzbashyan Dentistry
John Moroccan
Abdul Ghanim
Ahmed Alhalwani
Najmuddin Ansari
Muslim Taziz
Marrshid Bani
David Daudy
Ghalamdeen Saifi
Azakhr Nijam
Essam Istanbul
Hilal Kandah
Mirfab Alammar
Abdul Khaliq
Mohammed Al-shahouh
Arnauot Qulman
Mohsen Shomar
Shouqi Abdh
Khalid Bin
Abdul Latif
Hisham Al-kalghasi
Ahmed Maraziq
Maitha Al-tayer
Adam Osman
Mays Bin
English First
Salman Jadham
Maazzaam Jadhav
Abdul Halil
Abdul Ghafoor
Mohsen Alkhazraji
Hammoud Qatineh
Fahd Zubaid
Omar Al-murkah
Abdulaziz Sommera
Muthith Al
Ghani Guney
Essam Hadda
Ammar Akloub
Abdullah Bin
Hazma Al-dasouqi
Rashid Benshihab
John Beiruti
Ahmed Kanani
Salim Ahmed
Haitham Rasas
Abdul Jalil
Samir Al-awlaqi
Abdul Qahar
Sultan Al-qutub
Abdulrahman Badri
Zayan Ahmed
Saboor Balqarn
Mohammed Awad
Saeed Al-hakim
Doubalal Duzdall
Ahmed Awaidah
Tripoli El-jadid
Khadija Al-qadmani
Hazem Al-baghdadi
Ahmed Al-tarih
Ahmad And
Tamer Hamir
Samad Kanda
Marwan Al-awaazem
Ahmad Al-nasir
Wael Maraji
Abu Eid
Khalim Ajrama
Shaheef Beno
Kafour Saidani
Mourad Musaaf
Ahmad Al-afifi
Zayanuddin 
Abu Eid
Kareem Elasly
Ghasan Alkhazraji
Sultan Zahlawi
Mazen Al-namri
Ghamd Mutawakkil
Ahmed Al-mofti
Hassan Al-naqib
Fars Sabe
Sami Jazār
Azaz Bekr
Mohammed Sharq
Mukhtar Zahlawi
Abdul Qadir
John Hamilton
Samar Al-namri
Hafiz Bin
Makki Kannan
Mashfaq Besar
Saad Al-dawoodi
Ahmad Al-qalami
Farshad Arif
Mohammed Hazeel
Munatab Bakir
Abdul Qahar
Abdul Baqi
Khalil Bakr
Saeib Dqaq
Thank You
Eunice Surnadh
Ahmadouni 
English First
Mais Al-jalani
Mohammed Jazam
Saad Bin
Shahdad Ous
Hazma Nihad
Mohammad Shamr
Shibli Bin
Zaid Binutteeb
