Afonso Amoa
Stephen Valente
Kwame Mendes
Harry Baa
Francis Ntiamoa
Albert Mensah
Cláudio Moura
Ricardo Bonsra
Thomas Nunes
Gerald Anokye
Leonardo Anjos
Marcus Freitas
Dennis Brito
José Rodrigues
Tomé Appia
Tiago Barbosa
Salvador Adomah
George Ferreira
Joel Asiedu
Vítor Azevedo
Daniel Jesus
Graham Batista
Andrew Oppong
Bryan Pacheco
Duarte Omani
Ângelo Freitas
Carl Akoto
Gustavo Prempeh
Jason Amoako
Kojo Vieira
Salvador Nyaako
Leonardo Esteves
Tomás Coelho
Elliott Pinto
André Duah
Patrick Branco
Martim Afoakwa
Benjamin Yawson
Tomé Baawia
Vítor Twumasi
Josiah Cruz
Sebastião Assunção
Paulo Martins
Phillip Akyeampong
Kwaku Ampofo
Justin Anokye
Elliott Sarpong
João Martins
Brian Karikari
Alexander Baptista
Jeremy Simões
Denis Correia
Ronald Tweneboa
Clifford Pereira
Joseph Amaral
Arthur Fofie
Thomas Pinheiro
Dinis Nyantakyi
Noah Brito
Wilson Afirifa
Frederico Pires
César Barbosa
Kevin Machado
Lisandro Moura
Elliott Machado
Thomas Brito
Danny Afirifa
Sérgio Miranda
Fábio Awuah
Salvador Fernandes
Santiago Adu
Raymond Baptista
Sandro Anjos
Nelson Boadu
Colins Soares
Artur Lourenço
Santiago Pinto
Matias Obeng
Kwaku Correia
Gustavo Alves
Howard Lopes
Noa Matos
Enzo Ofosu
Gerald Pinheiro
Lawrence Henriques
Joaquim Appiah
Emanuel Nascimento
Igor Gaspar
Diogo Fernandes
César Tutu
Akwasi Araújo
Stephen Ntim
Gil Boaten
Márcio Vaz
Pedro Vaz
Sandro Okyere
Kwame Neto
Vasco Nti
Miguel Boadu
Jaime Boateng
Kwadwo Yaamoa
Vasco Cardoso
Alex Badu
Charles Moura
Elliot Akyeamfuɔ
Emanuel Loureiro
Akwesi Lourenço
Kenneth Henriques
Gabriel Agyapong
Matias Ansa
Adam Assunção
António Maia
Derrick Ribeiro
Daniel Amponsah
Vasco Brito
Abeiku Tutu
Diego Kwaakye
Isaac Oti
Lisandro Carvalho
Jason Agyapong
Jeffrey Jesus
Enzo Ampadu
Guilherme Morais
Sandro Branco
Elliot Gyamfi
Valentim Carvalho
Ivo Esteves
Joshua Koomson
Adam Ankra
Kyle Nkansa
Thomas Opoku
Bruno Akowua
John Nyantakyi
Lisandro Yirenkyi
André Moura
Shaun Akyerεko
Marcos Kyei
Arthur Karikari
Jeffrey Nkansa
Tom Costa
Fernando Matias
Vítor Osei
Nelson Freitas
Andrew Guerreiro
Brian Vieira
Edgar Moreira
Nicholas Mendes
António Borges
Victor Prempeh
Peter Nascimento
Wilson Lima
David Akyena
Leandro Matias
Phillip Kwarteng
Justin Ansa
Karl Dwamena
Simão Garcia
Matias Leal
Nelson Adomah
César Ansa
Valentim Barbosa
Jason Nkansah
Tomás Acheampong
Martim Vicente
Terence Pereira
Mauro Gomes
Kwaku Tavares
Ismael Torres
Leonardo Gyamfi
Mauro Neto
Mauro Osei
Samuel Morais
Rui Torres
Manuel Adomako
Benjamin Batista
Mathew Asiedu
Malcolm Simões
Wilson Ankra
Simão Ankra
Luca Darko
Richard Maia
Fernando Ankra
Nigel Oti
Diego Vieira
Andrew Monteiro
Jorge Lima
George Ntiamoa
Kwasi Quartey
Ben Twumasi
Igor Oti
Donald Simões
Rodrigo Twumasi
Martim Carvalho
Raymond Gyamfi
Manuel Vieira
William Badu
Sérgio Neves
Pedro Mensah
Duarte Jesus
Dominic Amponsah
Kwabena Nyantakyi
Mark Yeboah
Nuno Nyaako
Joel Reis
Tom Adomah
Tomé Owusu
Jeremy Fonseca
Bruno Gyasi
Louis Pinho
Hugo Nyantakyi
Mateus Abreu
Mateus Oliveira
Karl Wiafe
Filipe Asiama
Isaac Akowua
Rúben Agyemang
João Jesus
Jack Amponsah
Howard Tawia
Frank Borges
Frank Neto
Lourenço Akyena
Gustavo Carvalho
Edward Mendes
Roger Guerreiro
Yaw Abreu
Frank Ribeiro
Timothy Lourenço
Dinis Asiama
Malcolm Coelho
Rúben Fonseca
Andrew Boahen
Tom Asiama
Tomé Gyamfi
Miguel Rodrigues
Enzo Yeboah
Nigel Bonsu
Eric Nyaako
Anthony Branco
Lourenço Oliveira
Sandro Akowua
Jeremy Amponsah
Kevin Macedo
Kévim Garcia
Edgar Almeida
Frank Appiah
Jack Takyi
Henry Asamoa
Tony Ferreira
Lisandro Afirifa
Russell Baafi
Cláudio Asamoah
Jorge Mendes
Nathan Brito
Marco Miranda
Fábio Okyere
Jorge Ofosu
Sebastião Gonçalves
Frederick Neves
Kevin Oti
Álvaro Agyemang
Eric Acheampong
Bruce Matias
Ismael Kusi
Ricardo Amponsah
Lawrence Asare
Nuno Dwamena
Nuno Melo
António Cruz
Leonardo Rodrigues
Kujoe Cruz
Josh Boateng
Douglas Omani
Josh Owusu
Philip Nascimento
Cristiano Acheampong
César Andrade
Arthur Campos
Aaron Kyei
Harry Almeida
Joel Carvalho
Luke Akyerεko
Lawrence Loureiro
Joel Andrade
José Martins
Wilson Kyei
Daniel Antwi
Gustavo Barros
Xavier Ribeiro
Ronald Cardoso
Henrique Nkrumah
Malcolm Ntim
Vítor Nyantakyi
José Matias
Edgar Badu
Nelson Almeida
Leonardo Fonseca
José Agyemang
John Boakye
Leandro Macedo
Frederick Andrade
Denis Takyi
Ricardo Agyei
Miguel Pinto
Kwabena Oppong
Bruno Pires
Jonathan Andorful
Joseph Neves
Dinis Ramos
Santiago Andorful
Abeiku Gonçalves
Vasco Rodrigues
Jaime Koomson
Elliot Akoto
Charles Moura
Nuno Obeng
Kwame Yeboa
Bernard Yaamoa
Kweku Jesus
Gonçalo Omani
Jaime Pires
Bruce Ramos
Hugo Ntiamoa
Bernardo Bona
Márcio Osei
Francisco Ferreira
