Coriolano Cuzzocrea
Alex Petrucci
Stuart Casellati
Pierangelo Edwards
Flavio Ellis
Jordan Burgess
Thomas Carter
Clive Hayward
Raymond Robertson
Michelangelo Rosmini
Gilberto Carr
Gabriele Turner
Raymond Versace
Benvenuto Fagotto
Denis Callegari
Enzio Gianvecchio
Leigh Fagiani
Allan Miles
Pierluigi Williams
George Pearson
Enzo Tyler
Gordon Corcos
Gianluca Fabrizi
Clifford Blake
John Vasari
Rhys Shah
Lorenzo Tognazzi
Gaspare Frescobaldi
Jason Tiepolo
David Whitehouse
Leonard Lanfranchi
Pierangelo Mcdonald
Baldassare Evans
Mauro Basadonna
Laureano Orengo
Piermaria Gallagher
Lazzaro Gagliano
Thomas Kirk
Giovanni Murphy
Baccio Clarke
Phillip Evans
James Cox
Harry Smart
Corrado Graham
Malcolm Necci
Guido Piazzi
Victor Palmer
Gaspare Casini
Brian Capone
Matteo Hussain
Gianpietro Squarcione
Raimondo Pugh
Ivo Morgan
Callum Cook
Duncan Smith
Dario Bray
Dennis Page
Giampaolo Ungaretti
Glenn Anichini
Adam Jones
Fedele Toscani
Fredo Filzi
Temistocle Golino
Philip Fabbri
William Broschi
Bradley Williams
Romeo Federici
Charles Smith
Enzio Turchetta
Nino Davies
Silvestro Raimondi
Geoffrey Anastasi
Rodolfo Fantini
Stewart Desio
Russell Berengario
Leonardo Loredan
Henry Nicholson
Gordon Mengolo
Iain Gadda
Arsenio Norton
Mohammad Jones
Brian Talbot
Jay Santorio
Damien Carter
Martino Lawrence
Giosuè Smith
Leonardo Tomasetti
Billy Taylor
Dennis Ward
Salvatore Necci
Maurilio Conway
Roman Smith
Michele Davidson
Leopoldo Shah
Dionigi Vincent
Tiziano Romano
Darren Cadorna
Max Guariento
Geoffrey Comisso
Terry Moore
Gianpietro Edwards
Dennis Bellò
Giovanni Kaur
Patrizio Santi
Eraldo Cafarchia
Gioele Niscoromni
Karl Buscetta
Glen Taylor
Gerald Granatelli
Gioele Fabbri
Patrick Tamburini
Sergius Golino
Piergiorgio Robinson
Glen Comolli
Lodovico Viviani
Josh Fagotto
Mario Howell
Fabrizio Nolan
Augusto Wilson
Domenico Guariento
Joe Moneta
Edward Zito
Donato Booth
Bradley Vaughan
Ettore Baker
Ben Saraceno
Jordan Mancini
Giustino Moore
Piermaria Berry
Gordon Wood
Nathan Edwards
Ian Humphries
Norman Comeriato
Dante Barnes
Liam Capecchi
Giulio Asmundo
Gastone Ariosto
Raimondo Tiepolo
Wayne Stewart
Stephen Miller
Josh Malatesta
Saverio Donati
Patrick O'donnell
Lodovico Guarana
Adam Gabba
Wayne Balbo
Arsenio Owen
Arsenio Olivetti
Tonino Gallagher
Ciro Farnese
Amedeo Smith
Jack Zoppetti
Mitchell Fuller
Graham Hudson
Donald Carosone
Damian Fox
Luke Green
Lewis Williamson
Clifford Panzera
Gustavo Callegaro
Thomas Smart
Piergiorgio Young
Temistocle Cociarelli
Leone Austin
Damiano Cartwright
Shane Cooper
Azeglio Curtis
Armando Whitehead
Sante Fisher
Stephen Mattarella
Raffaele Hayes
Giustino Lewis
Raffaellino Lawrence
Virgilio Ali
Roger Hooper
Marcello Goodwin
Stuart Gradenigo
Nicholas White
Max Ward
Martyn Cattaneo
Arnulfo Fuller
Sandro Paruta
Santino Wilson
Telemaco Griffiths
David Hughes
Toby Tagliafierro
Lazzaro Gravina
Vittorio Gregorio
Fabio Williams
Craig Fibonacci
Frank Mills
Ryan Caboto
Roman Argento
Corrado Hanson
Howard Lamb
Ryan Mazzini
Gioacchino Green
William Forza
Orazio Bataglia
Vincent Burton
Alfio Buckley
Severino Vaughan
Aaron Ortese
Nicolò Richardson
Santino Nibali
Rhys Mercadante
Tullio Dalla
Luca Thomas
Ricky Taylor
Ryan Cadorna
Norman Binaghi
Tonino Marshall
Shaun Ginesio
Filippo Curtis
Livio Bresciani
Pompeo Thompson
Marcantonio Vecoli
Gianpietro Giannelli
Amico May
Cipriano Watkins
Coluccio Conway
Kyle Riley
Romeo Lewis
Maurice Wright
Dario Grimani
Rhys Reynolds
Mohammed Talbot
Harry Goldoni
Marc Smith
Ruggero Pagliaro
Edoardo Potts
Corrado Hewitt
Martin Wilson
Roman Rosiello
Ian Peters
Bruno Ovadia
Luke Nolan
Michelotto Guglielmi
Salvatore Parsons
Christian Mazzocchi
Malcolm Price
Roy Mason
Martino Surian
Telemaco Mennea
Ashley Jackson
Jack Rossini
Vincent Morris
