Maniib Zaidani
Sarhan Zaytawi
Abdul Gani
Tariq Abu
Abdul Khaliq
Noor Al-hawaash
Abdul Jalil
Mohshfaq Afghan
Shibli Anmar
Touqan Zaini


john Smith
Khaldon Shamr
Ahmad Shamloo
Ahmed Shafeeq
Mohsen Hussaini
Mahdi Jazār
Ali Al-kheaiti
Sajjad Hussain
Rabie Benybiat
Mohammed Alaraji
Abdulrazaq Hussaini
Abu Shaqdam
John Robbins
Mehran Ghotfani
Adnan Badr
Ahmed Delashah
Mutaz Al-ghawanima
Fatima Nassiba
Saad Al-shuhaib
Harith Bin
Jadir Khouri
Ahmed Neshashi
Naseruddin Hashid
Ahmad Hamami
Salim Jabili
Hussein Al-jedair
Murtaza Khazin
Kaswani 
Thursday Hinbeli
Ahmed Fattayer
Omar Abu
Saabir Badr
Fahd Sarnandih
Jasem Hamami
Mohammed Bouaziz
Samir Jazair
Mirfabe 
Ahmed Aljawwi
Marzahr Sarnadih
Tamer Shaheen
Omar Al
Abu Shaqadam
Abdul Hakeem


john Smith
Zaidan Al-tumhi
Salem Ben
Ahmed Alkatheeri
Ziad Oufelh
Ahmed Tareh
Abu Al-hajj
Ahmad Al-dasuqi
John Carpenter
Hammadoni 
Hafiz Delasha
Sana Saliba
Mazinah Zaidan
Hussain Al-moussawi
Hussain Shaefa
Ahmed Zaydanie
Ahmad Al-hanbali
Ahmed Hanbali
Samir Al-khamash
Mohsen Nuanesh
Abdul Samad
Abdulkareem Qarada
Abdul Rashid
Ahmad Mahyar
Ahmed Kannani
Maecy Hamami
Hatem Nahd
Amir Zargan
Ahmed Al-muqatab
Marrazi Al-baqum
Abdul Qadous
Shahab Jarrar
English First
Rabia Adgham
Mahdi Bin
Husayn Ali
Sarah Hadad
Nasir Hussain
Ahmed Al-kathiri
Ahmed Almutairi
Samir Al-qalamoni
Shafeeq Turkman
Mohammed Al-dosouqi
Arnaut Ot
Ramadan Alsakakini
Ahmed Al-bargouthi
Abd Marmush
Hazma Al-sharafa
Ahmed Hadi
Maghdad Touqan
Mohat Hosa
Mehryar Mehyaar


john Smith
Abdulaziz Al-zaytawi
Abu Qamr
Majed Hamami
Sidawy Dine
Munib Al-hanbali
Mushari Bin
Hazim Badr
Amar Daghmesh
Abdulrahman Abu
Mihir Mehta
Noufaz Nuanesh
Ahmed Hamami
Hassani Shamar
Khatan Improvement
Only English
Anmar Zaid
Mohammed Qadahaa
Shahin Khan
Ahmed Al-ibrahim
Nimrah Jaouni
Makram Maatouq
Shaban Tammim
Mourad Al-sakakini
Ibrahim Ibn
Zubayah Abuwaf
Hassan Al-sakakini
Abu Shaqdam
Bilal Bargothi
Famous Moutaq:
Mouns Khattan
Abdulrahman Khait
Abu Shaqdam
Maya Mann
Salim Al-namr
Shaman Omar
Abu Asneinah
Abu Shulbak
Kenz Thaer
Khalid Daghmash
Abdurrahman Abu
Najib Saar
Ketom Asali
Hadi Hussaini
Hassan Naseeba
Mohtava Zufeir
Abdulmohi Kesswani
Hashim Abu
Abu Shulbak
Ahmed Al-shahabi
Maroun Beiruti
Abdul Baqi
Faisal Tarabin
Ahmad Badr
Hakem Bin
Ahmed Salihi
Mohammad Mahyar
Masoud Bin
Omar Marmash
Hassam Abu
Mahdi Hamami
Mukhtar Mahyar
First Name:
Kasswani Farid
Ahmed Salihi
Mohammed Ali
Sam Neshashi
Masoud Khandaf
Abdul Halim
Abdul Qadous
Abu Shulbak
Abdul-illah Birqdar
Essam Saliba
Saad Bin
Abu Qamar
Abdul Wahid
Makram Al-tumaymi
Mammar Murad
John Amy
Justin Trudeau
Firhan Turkman
Abdulaziz Jazini
Adi Ben
Tim Tanokh
Ahmed Hussein
Mohammed Alhajar
Ahmed Qadmouni
Fahd Al-adgham
Jazam Al-taleb
Najm Al-rasim
Shaban Berghouthi
Zebar Astitaya
Ali Dīn
Muntasar Kasoni
Shahin Rahimian
Mohammed Atiba
Samir Kanda
Ahmed Dalash
Din Ziyatawy
Rajih President
Shaddad Al-sakakini
Adel Ben
Mursi Alkulghasi
Azd Maatouq
Tofalah Totingi
English First
Mahyaar 
Akawai Akakotb
Abdul Sabir
Borghthi Akeed
Muntasir Bin
Nassiba El-aalam
Ammar Temporary
Mohammed Tamimi
Rajih Ahmed
Abu Asneinah
Abdul Halim
Hussein Al-tarmooman
Ahmed Al-khazin
Abdul Nanaish
Ahmed Houssa
Mutaz Zaytawi
Adam Assad
Abu Shqadam
Abdulaziz Bin
John Nenich
Mohammed Shawafati
Ahmed Alkhazin
Hassan Khatib
Ahmed Oweida
Ahmed Al-bargouthi
Ahmed Al-zayed
Shahab Rasas
Khalid Al-sajji
Majid Marmash
Hazim Zebed
Zakaria Touqan
Abdul Ghafoor
Amr Bin
Shouqi Abu
Saad Jrahm
Shakib Hamir
Azizuddin Abu
Saliba 
Ahmed Aljundi
Ahmed Belghazoui
Abdul Jalil
Harith Bin
Joseph Hashim
Zaidan Zainam
Adel Nasseiba
Abdul Saud
Abdul-rauf Al-hussaini
Muhammad Al-hanbali
Abu Shilbak
Kaswani Badli
Zizan Zanbena
Mohammed Alhanbali
Andrew Amanar
John Daqaq
Abdul Samad
John Shaw
David Naunayesh
Marmash Ezaid
Abdul Tawab
Ahmed Hedayati
Khaled Zitawi
Hisham Bin
Abdul Sami
Faghsān Afghanī
Malik Bin
Saliba Hanna
Karaqib Ibn
Ahmed Tamimi
Turkmen Mukhimer
Abdulrahman Nagnish
Khaled Jarar
Majdi Tammimi
Ahmed Rashid
Hassan Saadon
Fakhr Abid
Abdul Khaliq
Hassan Khalan
Abdul Saad
Hasham Ahmad
Ahmed Sabri
Abu Guliun
Essam Khouri
Ammun Bin
Fahd Al-qurayshi
Abu Guliun
Najim Naanesh
Faras Ghanim
Nanesh Mohfak
Mohammed Ghattafan
Ali Nasseeba
Abu Shqadam
Hamed Al-tammimi
Khalil Al-qai
Mazmi Neshashi
Omar Ftaier
Aseer Al-harthi
