Kliment Odintsov
Grigoriy Savin
Vladilen Knyazev
Mikhail Yakovlev
Ippolit Krasil'nikov
Pankrat Fadeev
German Sharov
Kuz'ma Seliverstov
Ippolit Smirnov
Anikey Molchanov
Anisim Murav'ev
Karp Bol'shakov
Avksentiy Polyakov
Simon Gur'ev
Naum Sorokin
Irakliy Frolov
Georgiy Gur'ev
Vseslav Orlov
Stoyan Sharov
Filimon Lukin
Yuliy Lytkin
Irakliy Vinogradov
Mokey Makarov
Prokhor Vorob'ev
Radim Pakhomov
Vyacheslav Kazakov
Kornil Krylov
Dorofey Borisov
Zinoviy Veselov
Anatoliy Polyakov
Gordey Naumov
Vladilen Samoylov
Mokey Voronov
Konon Gusev
Il'ya Nikolaev
Ul'yan Artem'ev
Zinoviy Galkin
Vladilen Efremov
Nikandr Sharapov
Nikolay Sobolev
Danila Alekseev
Artemiy Kapustin
Dmitriy Petukhov
Konstantin Martynov
Kir Zimin
Nikanor Vladimirov
Prokl Mishin
Konon Galkin
Boleslav Shilov
Ilarion Mamontov
Kharlampiy Kabanov
Ustin Mishin
Varfolomey Moiseev
Aristarkh Emel'yanov
Ratibor Molchanov
Stoyan Mukhin
Igor' Rozhkov
Martyn Tret'yakov
Aleksey Grishin
Selivan Mishin
Bronislav Gur'ev
Yanuariy Bol'shakov
Varfolomey Voronov
Isidor Subbotin
Fotiy Grigor'ev
Yulian Sysoev
Osip Yudin
Ipatiy Ovchinnikov
Mina Rogov
Spiridon Panfilov
Ermolay Biryukov
Filaret Tarasov
Danila Gromov
Karp Smirnov
Roman Sorokin
Milen Petrov
Ul'yan Loginov
Evlampiy Frolov
Martyn Belousov
Savva Petukhov
Foma Zimin
Ostromir Polyakov
Adrian Savin
Artem Kotov
Gavrila Biryukov
Yanuariy Samsonov
Aver'yan Panfilov
Avdey Bogdanov
Apollinariy Shilov
Avdey Emel'yanov
Gennadiy Zimin
Trofim Bykov
Anikita Sitnikov
Samuil Sorokin
Budimir Romanov
Arseniy Konovalov
Sofron Zaytsev
Pankratiy Krasil'nikov
Sevast'yan Shiryaev
Valer'yan Osipov
Solomon Polyakov
Davyd Gusev
Leontiy Sukhanov
Fedosiy Kolobov
Igor' Murav'ev
Samuil Avdeev
Mechislav Mukhin
Il'ya Kulakov
Ermil Fadeev
Sidor Sidorov
Foma Kopylov
Gordey Rybakov
Afinogen Ovchinnikov
Modest Bogdanov
Kondratiy Burov
Fedot Volkov
Vladimir Ignatov
Vadim Nikonov
Yuriy Kudryavtsev
Valentin Makarov
Martyn Belousov
Firs Belousov
Arkhip Voronov
Stanislav Korolev
Parfen Baranov
Tverdislav Komarov
Yakov Rozhkov
Sil'vestr Vinogradov
Vyacheslav Murav'ev
Dobromysl Konovalov
Terentiy Lytkin
Spartak Ustinov
Kharlampiy Petrov
Kallistrat Safonov
Azariy Suvorov
Ladislav Nosov
Serafim Kuz'min
Yuliy Davydov
Firs Efremov
Milan Potapov
Ladimir Nikitin
Adrian Gur'ev
Dobroslav Kotov
Vikentiy Belozerov
Panfil Sobolev
Agap Osipov
Anatoliy Samsonov
Arefiy Murav'ev
Afinogen Antonov
Sofron Medvedev
German Shilov
Fedot Veselov
Firs Sitnikov
Khariton Yudin
