Sebastião Gyamfi
Sérgio Tutu
Salvador Nyame
Joel Akyena
Karl Wiafe
Nicholas Oliveira
Márcio Simões
Artur Wiafe
Artur Morais
Noah Nogueira
Kevin Figueiredo
Márcio Ampofo
Tomé Figueiredo
Steven Cruz
Jaime Matias
Joojo Oliveira
Rafael Anjos
Ivan Boahen
Luís Baa
Ivo Branco
Kwesi Andrade
Tom Barbosa
Paul Cardoso
Danny Henriques
Vincent Appia
Mauro Vieira
Kwabena Nkansa
Mark Ribeiro
Simon Antunes
Justin Batista
Duncan Danso
Dennis Martins
Sandro Asiedu
Peter Agyemang
Nicholas Ansa
Gustavo Carvalho
Steven Nyantakyi
Shaun Ramos
Hugo Carneiro
Stephen Monteiro
Danny Almeida
