Glen Summers
Guillaume Storey
Jake Thompson
Gavin Olivier
Adrien Friedman
Malcolm Perkins
Kevin Johnson
Jeremy Shelton
Sean Crawford
Arthur Brown
Edward Clayton
Matthieu Weaver
Sam Walker
Gavin Andre
Philippe Gardner
Roger Bailly
Luke Ball
Kenneth Bauer
Joshua Stevens
Paul Noble
Éric Webb
André Gilles
Philip Simon
Daniel Joubert
Maxwell Harrington
Léon Harper
Maurice Foster
Jacob Weaver
Patrick Joubert
Maurice Moore
Michael Williams
Laurent Smith
Gilles Ali
Nicholas Jacquot
Denis Brown
Patrick Clément
Mathew Murphy
Jonathan Jones
Alexander Alves
Darren Gibson
Edward Brennan
Jason Regnier
Jérôme Jackson
Jérôme Fox
Norman Khan
Raymond Wright
Thomas Loiseau
Harry Baker
Barry Walker
Victor Garner
Gregory White
Iain Hunt
Ryan Techer
Benjamin Barbe
Alain Donaldson
Marc Pollard
Rémy Booth
Charles Grimes
Richard Collet
Duncan Fletcher
Jason Sims
René Welch
Richard Jean
Rémy Legendre
Mark Fletcher
Matthieu Graves
Ryan Pinto
Lewis Michaud
Marc Ledoux
Georges Potter
Étienne Patel
Sean Hess
Shane Clarke
Gilles Gonzales
Maurice Marquez
Bernard Murray
Adam Brown
Robert Smith
Bernard Sauvage
Garry Carter
Victor Kim
Christopher Barajas
Matthew Lamb
Sam Hill
William Petit
Émile Owen
Mark Bodin
Steven Thomson
Noël Legros
Geoffrey Irwin
Gerald Dyer
Théophile Hammond
Robert Olivier
Ian Martin
Henri Morgan
Édouard Taylor
Russell Gordon
Gerald Fournier
Conor Chandler
Timothée Harrison
Brian Dos santos
Benjamin Jacques
Christopher Morris
Charlie Jones
Robert O'connor
Théophile Baker
Darren Hansen
Vincent Brown
Glenn Erickson
Ricky Lesage
Scott Legendre
Wayne Edwards
Auguste Walker
Leigh Bernier
Adrien Madden
Mohammad Ward
Malcolm Pineau
Scott Leleu
Gareth Young
Éric Rodriguez
Daniel Nguyen
Christopher Pacheco
Malcolm Fields
Dale Fisher
Charles Mclean
Charles Mitchell
James Allain
Alan Martinez
Benjamin Berry
Jerry Wright
Wayne Metcalfe
Donald Matthews
Joshua Delannoy
Arthur Morley
Maurice Coffey
Douglas Fleming
Théodore Price
