Panteleymon Stepanov
Trofim Nesterov
Klavdiy Mel'nikov
Dmitriy Afanas'ev
Tikhon Blokhin
Polikarp Kudryashov
Vladislav Yudin
Andron Gulyaev
Ernest Fedotov
Gleb Uvarov
Efim Panfilov
Foka Vishnyakov
Ernest Likhachev
Vladlen Vinogradov
Evgraf Gorshkov
Valeriy Petukhov
Roman Dorofeev
Irakliy Ryabov
Gedeon Komissarov
Timur Strelkov
Grigoriy Isaev
Modest Ermakov
Guriy Ershov
Vadim Turov
Radislav Molchanov
Mstislav Krasil'nikov
Boyan Konovalov
Prokl Gusev
Adrian Smirnov
Evsey Kulakov
Arkhip Nikonov
Evstafiy Bragin
Prokhor Fokin
Ipat Kornilov
Ladimir Kalinin
Artemiy Bespalov
Konon Belousov
Matvey Sitnikov
Vseslav Osipov
Eremey Lazarev
Varlaam Vladimirov
Orest Rodionov
Miron Gushchin
Elisey Gavrilov
Budimir Zhukov
Fortunat Vinogradov
Ul'yan Novikov
Gostomysl Smirnov
Radislav Dement'ev
German Zhukov
Feliks Sokolov
Mart'yan Lebedev
Foma Fedoseev
Ermolay Denisov
Orest Nesterov
Agap Tikhonov
Ustin Silin
Zosima Aksenov
Antonin Shubin
Samson Khokhlov
Tit Burov
Kharlampiy Popov
Budimir Potapov
Zakhar Korolev
Ermolay Emel'yanov
Grigoriy Denisov
Kornil Kapustin
Efim Fedoseev
Yuliy Vorontsov
Osip Grigor'ev
Gedeon Zakharov
Vladlen Sysoev
Evdokim Tikhonov
Kharlampiy Orekhov
Antonin Odintsov
Mitofan Zimin
Pakhom Ustinov
Spiridon Shestakov
Mikhey Avdeev
Emel'yan Borisov
Svyatoslav Evdokimov
Dem'yan Orlov
Platon Pestov
Miliy Zuev
Aggey Knyazev
Nikon Belyaev
Evstigney Belyakov
Grigoriy Nikiforov
Stanislav Mel'nikov
Mart'yan Drozdov
Galaktion Morozov
Trofim Nekrasov
Isidor Kulikov
Samson Medvedev
Ostromir Nikonov
Maksim Kononov
Spartak Kharitonov
Natan Gushchin
Rodion Novikov
Davyd Artem'ev
Luchezar Martynov
Kondrat Gordeev
Lyubosmysl Seliverstov
Ermil Tikhonov
Ananiy Isaev
Denis Samsonov
Trofim Bobrov
Emil' Mukhin
Arkadiy Kryukov
Aleksandr Sukhanov
Evsey Rybakov
Rostislav Merkushev
Dementiy Avdeev
Luk'yan Markov
Silantiy Evseev
Iosif Bespalov
Timofey Sukhanov
Valeriy Morozov
Davyd Rodionov
Zinoviy Gorshkov
Osip Shiryaev
Erast Danilov
Milan Bykov
Evstafiy Maksimov
Pankratiy Kononov
Mart'yan Nazarov
Izyaslav Kharitonov
Mikhail Mamontov
Evlampiy Merkushev
Gennadiy Baranov
Stoyan Lapin
Arkhip Samsonov
Mart'yan Orekhov
Cheslav Polyakov
Arkadiy Suvorov
Anikey Rybakov
Kharlampiy Gromov
Pavel Krasil'nikov
Khariton Belyakov
Selivan Nikitin
Zinoviy Samsonov
Egor Evdokimov
Yuriy Fadeev
Andronik Aleksandrov
Avtonom Il'in
Viktorin Kirillov
Iosif Pavlov
Anikita Myasnikov
Pavel Maksimov
Mina Bol'shakov
Ratmir Polyakov
Milan Shcherbakov
Aver'yan Filatov
Prokofiy Kondrat'ev
Eduard Eliseev
Fadey Gromov
Boris Ermakov
Fotiy Terent'ev
Nazar Nikolaev
Boris Sysoev
Modest Yudin
Danila Morozov
Dementiy Vinogradov
Boris Antonov
Olimpiy Kostin
Izot Kudryashov
Amos Blinov
Mina Kazakov
Vikentiy Simonov
Demid Isaev
Aristarkh Sitnikov
Yaroslav Turov
Zinoviy Gerasimov
Ferapont Zykov
Vladislav Fadeev
Spiridon Korolev
Foma Shashkov
Epifan Savin
Marian Gordeev
Platon Shilov
Azariy Evseev
Savva Komissarov
Leonid Turov
Ul'yan Khokhlov
Prokofiy Gavrilov
Eremey Galkin
Egor Vorob'ev
Anikita Arkhipov
